,lifes,levelSize,nbOfCoins,minDistBTPlatform,maxDistBTPlatform,Proc_enemy,Proc_springPlatform,Proc_fallingPlatform,Proc_mediumPlatform,Proc_smallPlatform,Proc_spawBonus,Proc_rocket,Proc_shield,Proc_backstop
lvl_73,1,95,2,63,100,25,10,20,40,20,20,20,50,30
lvl_74,1,96,2,64,100,25,10,20,40,20,20,20,50,30
lvl_75,1,97,2,65,100,25,10,20,40,21,20,20,50,30
lvl_76,1,98,2,66,100,25,10,20,35,21,20,20,50,30
lvl_77,1,99,2,67,100,25,10,20,35,21,20,20,50,30
lvl_78,1,100,2,68,100,25,10,20,35,21,20,20,50,30
lvl_79,1,101,2,69,100,25,10,20,35,22,20,20,50,30
lvl_80,1,102,2,70,100,25,10,20,35,22,20,20,50,30
lvl_81,1,103,2,71,100,25,10,20,35,22,20,20,50,30
lvl_82,1,104,2,72,100,25,10,20,35,22,20,20,50,30
lvl_83,1,105,2,73,100,25,10,20,35,22,20,20,50,30
lvl_84,1,106,2,74,100,25,10,20,35,23,20,20,50,30
lvl_85,1,107,2,75,100,25,10,20,35,23,20,20,50,30
lvl_86,1,108,2,76,100,25,10,20,35,23,20,20,50,30
lvl_87,1,109,2,77,100,25,10,20,35,23,20,20,50,30
lvl_88,1,110,2,78,100,25,10,20,35,24,20,20,50,30
lvl_89,1,111,2,79,100,25,10,20,35,24,20,20,50,30
lvl_90,1,112,2,80,100,25,10,20,35,24,20,20,50,30
lvl_91,1,113,2,81,100,25,10,20,35,25,20,20,50,30
lvl_92,1,114,2,82,100,25,10,20,35,26,20,20,50,30
lvl_93,1,115,2,83,100,25,10,20,35,27,20,20,50,30
lvl_94,1,116,2,84,100,25,10,20,35,28,20,20,50,30
lvl_95,1,117,2,85,100,25,10,20,35,29,20,20,50,30
lvl_96,1,118,2,86,100,25,10,20,35,30,20,20,50,30
lvl_97,1,119,2,87,100,25,10,20,35,31,20,20,50,30
lvl_98,1,120,2,88,100,25,10,20,35,32,20,20,50,30
lvl_99,1,121,2,89,100,25,10,20,35,33,20,20,50,30
lvl_100,1,150,2,90,100,25,10,20,25,60,20,20,50,30
